Datetime,Close,strategy_curve,buy_hold_curve,position,strategy_portfolio_cad,buy_hold_portfolio_cad
2025-03-14 13:30:00+00:00,0.3100000023841858,1.0,1.0,0.0,100000.0,100000.0
2025-03-14 17:30:00+00:00,0.30000001192092896,1.0,0.9677419664956526,0.0,100000.0,96774.19664956526
2025-03-17 13:30:00+00:00,0.3100000023841858,1.0,1.0,0.0,100000.0,100000.0
2025-03-17 17:30:00+00:00,0.3100000023841858,1.0,1.0,0.0,100000.0,100000.0
2025-03-18 13:30:00+00:00,0.3100000023841858,1.0,1.0,0.0,100000.0,100000.0
2025-03-18 17:30:00+00:00,0.3100000023841858,1.0,1.0,0.0,100000.0,100000.0
2025-03-19 13:30:00+00:00,0.29499998688697815,1.0,0.9516128536069558,0.0,100000.0,95161.28536069558
2025-03-19 17:30:00+00:00,0.30000001192092896,1.0,0.9677419664956526,0.0,100000.0,96774.19664956526
2025-03-20 13:30:00+00:00,0.29499998688697815,1.0,0.9516128536069558,0.0,100000.0,95161.28536069558
2025-03-20 17:30:00+00:00,0.28999999165534973,1.0,0.9354838368547821,0.0,100000.0,93548.38368547821
2025-03-21 13:30:00+00:00,0.28999999165534973,1.0,0.9354838368547821,0.0,100000.0,93548.38368547821
2025-03-21 17:30:00+00:00,0.30000001192092896,1.0,0.9677419664956527,0.0,100000.0,96774.19664956527
2025-03-24 13:30:00+00:00,0.28999999165534973,1.0,0.9354838368547822,0.0,100000.0,93548.38368547821
2025-03-24 17:30:00+00:00,0.28999999165534973,1.0,0.9354838368547822,0.0,100000.0,93548.38368547821
2025-03-25 13:30:00+00:00,0.2849999964237213,1.0,0.9193548201026085,0.0,100000.0,91935.48201026085
2025-03-25 17:30:00+00:00,0.2750000059604645,1.0,0.8870967865982611,0.0,100000.0,88709.67865982611
2025-03-26 13:30:00+00:00,0.28999999165534973,1.0,0.9354838368547822,0.0,100000.0,93548.38368547821
2025-03-26 17:30:00+00:00,0.28999999165534973,1.0,0.9354838368547822,0.0,100000.0,93548.38368547821
2025-03-27 13:30:00+00:00,0.30000001192092896,1.0,0.9677419664956528,0.0,100000.0,96774.19664956527
2025-03-27 17:30:00+00:00,0.30000001192092896,1.0,0.9677419664956528,0.0,100000.0,96774.19664956527
2025-03-28 13:30:00+00:00,0.29499998688697815,1.0,0.951612853606956,0.0,100000.0,95161.2853606956
2025-03-28 17:30:00+00:00,0.30000001192092896,1.0,0.9677419664956528,0.0,100000.0,96774.19664956527
2025-03-31 13:30:00+00:00,0.2750000059604645,1.0,0.8870967865982612,0.0,100000.0,88709.67865982612
2025-03-31 17:30:00+00:00,0.2800000011920929,1.0,0.9032258033504349,0.0,100000.0,90322.58033504349
2025-04-01 13:30:00+00:00,0.2849999964237213,1.0,0.9193548201026086,0.0,100000.0,91935.48201026086
2025-04-01 17:30:00+00:00,0.2750000059604645,1.0,0.8870967865982612,0.0,100000.0,88709.67865982612
2025-04-02 13:30:00+00:00,0.2750000059604645,1.0,0.8870967865982612,0.0,100000.0,88709.67865982612
2025-04-02 17:30:00+00:00,0.25999999046325684,1.0,0.838709640205217,0.0,100000.0,83870.9640205217
2025-04-03 13:30:00+00:00,0.24500000476837158,1.0,0.7903225899486959,0.0,100000.0,79032.25899486958
2025-04-03 17:30:00+00:00,0.23999999463558197,1.0,0.7741935251282606,0.0,100000.0,77419.35251282605
2025-04-04 13:30:00+00:00,0.2150000035762787,1.0,0.6935483932991305,0.0,100000.0,69354.83932991305
2025-04-04 17:30:00+00:00,0.25,1.0,0.8064516067008695,0.0,100000.0,80645.16067008695
2025-04-07 13:30:00+00:00,0.23499999940395355,1.0,0.7580645083760869,0.0,100000.0,75806.45083760869
2025-04-07 17:30:00+00:00,0.2199999988079071,1.0,0.7096774100513042,0.0,100000.0,70967.74100513042
2025-04-08 13:30:00+00:00,0.23999999463558197,1.0,0.7741935251282606,0.0,100000.0,77419.35251282605
2025-04-08 17:30:00+00:00,0.22499999403953552,1.0,0.725806426803478,0.0,100000.0,72580.6426803478
2025-04-09 13:30:00+00:00,0.23000000417232513,1.0,0.7419354916239131,0.0,100000.0,74193.54916239131
2025-04-09 17:30:00+00:00,0.23000000417232513,1.0,0.7419354916239131,0.0,100000.0,74193.54916239131
2025-04-10 13:30:00+00:00,0.23499999940395355,1.0,0.7580645083760869,0.0,100000.0,75806.45083760869
2025-04-10 17:30:00+00:00,0.23000000417232513,1.0,0.7419354916239131,0.0,100000.0,74193.54916239131
2025-04-11 13:30:00+00:00,0.2150000035762787,1.0,0.6935483932991305,0.0,100000.0,69354.83932991305
2025-04-11 17:30:00+00:00,0.20999999344348907,1.0,0.6774193284786952,0.0,100000.0,67741.93284786952
2025-04-14 13:30:00+00:00,0.23000000417232513,1.0,0.7419354916239131,0.0,100000.0,74193.54916239131
2025-04-14 17:30:00+00:00,0.2800000011920929,1.0,0.9032258033504347,0.0,100000.0,90322.58033504347
2025-04-15 13:30:00+00:00,0.26499998569488525,1.0,0.8548386569573906,0.0,100000.0,85483.86569573906
2025-04-15 17:30:00+00:00,0.25999999046325684,1.0,0.8387096402052169,0.0,100000.0,83870.96402052169
2025-04-16 13:30:00+00:00,0.24500000476837158,1.0,0.7903225899486958,0.0,100000.0,79032.25899486958
2025-04-16 17:30:00+00:00,0.25,1.0,0.8064516067008694,0.0,100000.0,80645.16067008693
2025-04-17 13:30:00+00:00,0.2750000059604645,1.0,0.8870967865982609,0.0,100000.0,88709.67865982608
2025-04-17 17:30:00+00:00,0.27000001072883606,1.0,0.8709677698460871,0.0,100000.0,87096.77698460872
2025-04-21 13:30:00+00:00,0.23999999463558197,1.0,0.7741935251282603,0.0,100000.0,77419.35251282604
2025-04-21 17:30:00+00:00,0.2549999952316284,1.0,0.822580623453043,0.0,100000.0,82258.0623453043
2025-04-22 13:30:00+00:00,0.2549999952316284,1.0,0.822580623453043,0.0,100000.0,82258.0623453043
2025-04-22 17:30:00+00:00,0.2549999952316284,1.0,0.822580623453043,0.0,100000.0,82258.0623453043
2025-04-23 13:30:00+00:00,0.25999999046325684,1.0,0.8387096402052167,0.0,100000.0,83870.96402052167
2025-04-23 17:30:00+00:00,0.25,1.0,0.8064516067008692,0.0,100000.0,80645.16067008693
2025-04-24 13:30:00+00:00,0.24500000476837158,1.0,0.7903225899486955,0.0,100000.0,79032.25899486955
2025-04-24 17:30:00+00:00,0.23999999463558197,1.0,0.7741935251282602,0.0,100000.0,77419.35251282602
2025-04-25 13:30:00+00:00,0.23499999940395355,1.0,0.7580645083760865,0.0,100000.0,75806.45083760865
2025-04-25 17:30:00+00:00,0.23499999940395355,1.0,0.7580645083760865,0.0,100000.0,75806.45083760865
2025-04-28 13:30:00+00:00,0.23499999940395355,1.0,0.7580645083760865,0.0,100000.0,75806.45083760865
2025-04-28 17:30:00+00:00,0.23999999463558197,1.0,0.7741935251282601,0.0,100000.0,77419.35251282601
2025-04-29 13:30:00+00:00,0.23499999940395355,1.0,0.7580645083760864,0.0,100000.0,75806.45083760865
2025-04-29 17:30:00+00:00,0.23999999463558197,1.0,0.77419352512826,0.0,100000.0,77419.352512826
2025-04-30 13:30:00+00:00,0.25999999046325684,1.0,0.8387096402052163,0.0,100000.0,83870.96402052163
2025-04-30 17:30:00+00:00,0.27000001072883606,1.0,0.8709677698460868,0.0,100000.0,87096.77698460869
2025-05-01 13:30:00+00:00,0.26499998569488525,1.0,0.85483865695739,0.0,100000.0,85483.865695739
2025-05-01 17:30:00+00:00,0.25999999046325684,1.0,0.8387096402052163,0.0,100000.0,83870.96402052163
2025-05-02 13:30:00+00:00,0.26499998569488525,1.0,0.8548386569573899,0.0,100000.0,85483.86569573899
2025-05-02 17:30:00+00:00,0.27000001072883606,1.0,0.8709677698460868,0.0,100000.0,87096.77698460869
2025-05-05 13:30:00+00:00,0.26499998569488525,1.0,0.85483865695739,0.0,100000.0,85483.865695739
2025-05-05 17:30:00+00:00,0.23999999463558197,1.0,0.7741935251282601,0.0,100000.0,77419.35251282601
2025-05-06 13:30:00+00:00,0.23499999940395355,1.0,0.7580645083760864,0.0,100000.0,75806.45083760865
2025-05-06 17:30:00+00:00,0.23999999463558197,1.0,0.77419352512826,0.0,100000.0,77419.352512826
2025-05-07 13:30:00+00:00,0.24500000476837158,1.0,0.7903225899486952,0.0,100000.0,79032.25899486952
2025-05-07 17:30:00+00:00,0.23499999940395355,1.0,0.7580645083760863,0.0,100000.0,75806.45083760863
2025-05-08 13:30:00+00:00,0.23999999463558197,1.0,0.7741935251282599,0.0,100000.0,77419.352512826
2025-05-08 17:30:00+00:00,0.23499999940395355,1.0,0.7580645083760862,0.0,100000.0,75806.45083760862
2025-05-09 13:30:00+00:00,0.24500000476837158,1.0,0.7903225899486951,0.0,100000.0,79032.25899486951
2025-05-09 17:30:00+00:00,0.23999999463558197,1.0,0.7741935251282598,0.0,100000.0,77419.35251282598
